exp,cohort,sbj,treatment,date,time,body_mass_g,food_weight_g,blood_glucose_mgdl
dtx,tx03,dtx011,TeTx,2/4/2020,,29.11,,
dtx,tx03,dtx012,TeTx,2/4/2020,,32.44,,
dtx,tx03,dtx013,GFP,2/4/2020,,30.46,,
dtx,tx03,dtx014,GFP,2/4/2020,,28.69,,
dtx,tx03,dtx015,TeTx,2/4/2020,,32.95,,
dtx,tx03,dtx016,TeTx,2/4/2020,,30.9,,
dtx,tx03,dtx017,TeTx,2/4/2020,,32.68,,
dtx,tx03,dtx018,TeTx,2/4/2020,,30.3,,
dtx,tx03,dtx019,TeTx,2/4/2020,,32.99,,
dtx,tx03,dtx001,TeTx,2/18/2020,,35.17,,
dtx,tx03,dtx002,GFP,2/18/2020,,31.66,,
dtx,tx03,dtx006,GFP,2/18/2020,,30.25,,
dtx,tx03,dtx007,GFP,2/18/2020,,30.08,,
dtx,tx03,dtx008,GFP,2/18/2020,,26.9,,
dtx,tx03,dtx009,GFP,2/18/2020,,25.9,,
dtx,tx03,dtx010,TeTx,2/18/2020,,28.86,,
dtx,tx03,dtx011,TeTx,2/18/2020,,28.11,,
dtx,tx03,dtx012,TeTx,2/18/2020,,31.64,,
dtx,tx03,dtx013,GFP,2/18/2020,,30.52,,
dtx,tx03,dtx014,GFP,2/18/2020,,29.94,,
dtx,tx03,dtx015,TeTx,2/18/2020,,33.56,,
dtx,tx03,dtx016,TeTx,2/18/2020,,31.94,,
dtx,tx03,dtx017,TeTx,2/18/2020,,31.5,,
dtx,tx03,dtx018,TeTx,2/18/2020,,30.88,,
dtx,tx03,dtx019,TeTx,2/18/2020,,33.01,,
dtx,tx03,dtx001,TeTx,3/3/2020,,36.7,,
dtx,tx03,dtx002,GFP,3/3/2020,,32.47,,
dtx,tx03,dtx006,GFP,3/3/2020,,29.85,,
dtx,tx03,dtx007,GFP,3/3/2020,,30.87,,
dtx,tx03,dtx008,GFP,3/3/2020,,27.23,,
dtx,tx03,dtx009,GFP,3/3/2020,,26.35,,
dtx,tx03,dtx010,TeTx,3/3/2020,,28.53,,
dtx,tx03,dtx011,TeTx,3/3/2020,,30.55,,
dtx,tx03,dtx012,TeTx,3/3/2020,,33.68,,
dtx,tx03,dtx013,GFP,3/3/2020,,31.15,,
dtx,tx03,dtx014,GFP,3/3/2020,,29.67,,
dtx,tx03,dtx015,TeTx,3/3/2020,,34.25,,
dtx,tx03,dtx016,TeTx,3/3/2020,,33.75,,
dtx,tx03,dtx017,TeTx,3/3/2020,,33.85,,
dtx,tx03,dtx018,TeTx,3/3/2020,,31.76,,
dtx,tx03,dtx019,TeTx,3/3/2020,,35.1,,
